 ALI BEY ,1979,  88 m X 13 m ,  2400 t ,  J8B2056 ,7906708,375471000
 ALI EKINCI ,1982,  191 m X 27 m ,  37415 t ,  TCNC ,8103236,271000409
 ALI S ,1989,  149 m X 22 m ,  13593 t ,  YKPU ,8302258,468359000
 ALIA ,2003,  183 m X 28 m ,  35669 t ,  A8AV4 ,9259903,636091488
 ALICE ,2005,  119 m X 16 m ,  7000 t ,  OZ2087 ,9327334,231741000
 ALIDA GORTHON ,1977,  141 m X 22 m ,  14240 t ,  C4PQ2 ,7524201,209740000
 ALIOS HERMES ,2004,  81 m X 14 m ,  1504 t ,  SYRD ,9301615,240207000
 ALIOTH ,2008,  161 m X 24 m ,  17219 t ,  9VKY2 ,9339600,565125000
 ALJABER 17 ,1983,  63 m X 18 m ,  2500 t ,  A6E2993 ,8224535,470829000
 ALKOR ,2004,  136 m X 17 m ,  5404 t ,  9HAE8 ,9332389,249621000
 ALLEGRETTO ,2006,  90 m X 16 m ,  4300 t ,  V2CQ7 ,9353395,304936000
 ALMAJEDAH ,2004,  164 m X 26 m ,  16300 t ,  A7MN ,9284831,466231000
 ALMINUFYAH ,1991,  133 m X 33 m ,  12700 t ,  SSEM ,8803757,622120411
 ALPHA ,1977,  109 m X 17 m ,  7678 t ,  3ETI8 ,7632670,370575000
 ALPHA GAS ,1989,  100 m X 16 m ,  3753 t ,  DSPU6 ,8910811,441455000
 ALSERBACH ,1997,  88 m X 14 m ,  4490 t ,  PBEZ ,9169732,246220000
 ALTAMIRA EXPRESS ,1987,  270 m X 32 m ,  40845 t ,  ZCDJ4 ,8501426,310419000
 ALTAREK ,1976,  88 m X 14 m ,  3092 t ,  ERJK ,7430462,214181011
 ALTENA ,2004,  112 m X 14 m ,  6063 t ,  PCBK ,9268837,245468000
 ALTO ACRUX ,2008,  274 m X 49 m ,  72020 t ,  C6WG2 ,9343106,308592000
 AMADEUS ,2001,  80 m X 10 m ,  1680 t ,  J8B4062 ,9232498,376205000
 AMALIA ,1984,  152 m X 23 m ,  10564 t ,  8PTN ,8221868,314232000
 AMALIA ,2005,  106 m X 15 m ,  5780 t ,  PJTV ,9312717,306792000
